Market_Name,Total Revenue
LOS ANGELES,53418747.35000865
NEW YORK,43599555.08999701
CHICAGO,28586377.04000039
BOSTON,27150263.09999849
"PHOENIX, AZ",22894341.78999819
"WASHINGTON, DC",20790261.68999807
HOUSTON,20437813.529999025
PHILADELPHIA,20423964.849998754
SAN DIEGO,19801348.6499992
NEW ENGLAND,19109099.969999306
SEATTLE/TACOMA,19104902.82999887
"DALLAS, TX",18837110.179999143
SAN FRANCISCO,18026269.929999087
SOUTH CAROLINA,17492747.54999909
KANSAS CITY,17470452.119998727
ST. LOUIS,17303804.349999774
DETROIT,15914175.799999265
ATLANTA,15512275.909998182
WEST TEX/NEW MEX,14705473.34999951
"PORTLAND,OR",14575605.839999376
BUFFALO/ROCHESTER,14264636.36999944
SACRAMENTO,13836215.609999178
HARTFORD,13758467.27999964
RALEIGH/DURHAM,13392808.679998772
SYRACUSE,12570584.169999646
HARRISBURG/SCRANT,11474242.72999941
CHARLOTTE,11398968.109999266
INDIANAPOLIS,10908927.829999605
RICHMOND/NORFOLK,10003070.929999648
MINNEAPOLIS/ST. P,9287791.71999981
ROANOKE,8547475.919999285
GRAND RAPIDS,8477565.659999877
BIRMINGHAM/MONTG.,8114588.849999889
OMAHA,7712895.639999887
KNOXVILLE,7039968.6399998525
"PROVIDENCE,RI",6840682.929999903
TOLEDO,6482126.319999955
MISSISSIPPI,6153750.189999903
MILWAUKEE,5886168.439999731
DES MOINES,5429076.089999877
PEORIA/SPRINGFLD.,5428059.339999911
SALT LAKE CITY,5368213.07999985
CLEVELAND,4970261.799999827
EAU CLAIRE,4314591.279999724
"NEW ORLEANS, LA",4148237.529999886
PITTSFIELD,3986039.7199996007
SPOKANE,3488372.0399999972
GREEN BAY,2901259.229999966
,2498512.709999976
OKLAHOMA CITY,1628115.549999997
"TULSA,OK",1414944.8000000024
