Year,UPC,Revenue,Weeks_in_Prom,Total_Sale_Weeks
2011,00-03-28400-03345,1022580.7299999997,38,39
2011,00-01-28400-03875,1015516.7399999999,42,42
2011,00-02-28400-06408,975795.2800000001,47,47
2011,00-02-28400-06399,830449.3699999999,52,52
2011,00-01-28400-03346,608710.1100000002,47,47
2011,00-01-28400-03854,548580.7499999999,41,41
2012,00-01-28400-03875,1399523.4900000002,52,52
2012,00-03-28400-03345,1382585.5200000003,52,52
2012,00-03-28400-06408,1112857.1400000001,52,52
2012,00-01-28400-03854,753409.0200000004,52,52
2012,00-02-28400-06399,741246.2600000001,52,52
2012,00-01-28400-03346,706581.7600000006,52,52
